x,y,long,short,radian,bool
411.0,310.0,2.1821,4.082,0.0,0.0
34.5,309.0,0.0,0.000,0.0,0.0
402.0,309.5,2.2105,5.249,0.0,0.0
412.0,307.5,2.1213,3.0,0.0,0.0
84.49,308.0,1.001,32.315,0.0,0.0
48.33,310.88,4.678,6.9811,166.82,0.0
452.0,305.0,0.0,0.000,0.0,0.0
413.0,304.5,2.1213,3.0,0.0,0.0
233.48,320.547,24.412,44.64,47.03,0.0
64.91,305.06,1.8746,7.210,63.39,0.0
585.292,305.934,7.956,9.249,84.48,0.0
760.361,305.40,4.2444,12.981,118.22,0.0
415.0,300.5,2.1213,3.0,0.0,0.0
765.73,299.0,1.439,3.70,120.82,0.0
104.99,297.99,2.8331,4.899,44.809,0.0
584.667,313.024,23.005,37.719,9.65,0.0
110.05,297.923,1.7035,4.764,108.039,0.0
294.0,296.5,2.1213,3.0,0.0,0.0
758.583,295.08,0.0,0.7071,0.0,0.0
414.0,296.0,2.2215,6.497,0.0,0.0
401.0,299.5,2.183,17.186,0.0,0.0
58.38,294.96,1.083,3.1303,119.03,0.0
211.0,293.5,3.2469,4.248,90.0,0.0
270.543,357.621,37.104,45.42,0.0,0.0
6.085,293.031,4.4699,4.867,157.082,0.0
748.504,289.00,0.71,12.687,134.96,0.0
609.0,288.5,3.2469,4.248,90.0,0.0
559.091,301.203613,2.967,35.71,3.6711,0.0
741.583,285.08,0.0,0.7071,0.0,0.0
297.0,285.0,2.2215,6.497,0.0,0.0
37.703,284.00,0.03819,0.1119,0.0,0.0
526.0,283.5,2.2105,5.249,0.0,0.0
413.0,284.5,2.1698,20.786,0.0,0.0
402.0,284.5,2.1698,20.786,0.0,0.0
728.498,277.49,0.04051,0.17141,0.0,0.0
733.411,290.391,5.553,47.20,123.40,0.0
765.922,287.801,2.587,25.87,3.3696,0.0
707.588,273.44,2.944,3.611,135.02,0.0
401.0,272.5,2.2105,5.249,0.0,0.0
702.5,270.5,0.0,1.0,0.0,0.0
296.0,273.5,2.2139,10.685,0.0,0.0
414.0,270.0,2.1821,4.082,0.0,0.0
524.0,267.5,2.1213,3.0,0.0,0.0
400.0,268.0,2.1821,4.082,0.0,0.0
399.0,264.5,2.1213,3.0,0.0,0.0
297.0,266.0,2.2215,6.497,0.0,0.0
705.504,264.00,0.71,12.687,134.96,0.0
690.999,262.999,0.15032,0.15088,45.055,0.0
398.0,261.5,2.1213,3.0,0.0,0.0
522.0,260.5,2.1213,3.0,0.0,0.0
416.0,260.5,2.1213,3.0,0.0,0.0
298.0,261.0,2.1821,4.082,0.0,0.0
521.0,258.5,2.1213,3.0,0.0,0.0
299.0,257.5,2.1213,3.0,0.0,0.0
300.0,255.5,2.1213,3.0,0.0,0.0
676.331,254.18,2.0683,4.819,103.76,0.0
519.0,253.5,2.1213,3.0,0.0,0.0
302.0,251.5,2.1213,3.0,0.0,0.0
303.5,249.0,2.403,4.535,35.45,0.0
305.5,246.0,2.403,4.535,35.45,0.0
379.5,236.0,2.1213,3.0,90.0,0.0
505.5,235.0,2.1213,3.0,90.0,0.0
347.222,276.038574,82.973,86.69,107.98,1.0
376.5,234.0,2.1213,3.0,90.0,0.0
468.150,271.799,80.11,87.035,75.44,1.0
373.5,232.0,2.1213,3.0,90.0,0.0
329.0,229.0,2.1821,4.082,90.0,0.0
332.5,228.0,2.1213,3.0,90.0,0.0
337.0,227.0,2.1821,4.082,90.0,0.0
359.0,226.0,2.1821,4.082,90.0,0.0
459.5,225.0,2.1213,3.0,90.0,0.0
350.0,225.0,2.1821,4.082,90.0,0.0
474.5,224.0,2.1213,3.0,90.0,0.0
763.36,259.616,4.710,77.16,7.103,0.0
732.143,248.63,4.3215,82.54,7.417,0.0
725.395,248.44,3.8690,77.51,7.078,0.0
719.064,248.96,3.71,68.71,7.210,0.0
746.379,249.56,4.7078,86.87,7.656,0.0
739.03,249.97,4.434,78.75,7.572,0.0
752.897,252.547,3.357,82.90,7.77,0.0
703.530,233.89,3.1762,74.16,6.886,0.0
692.816,234.17,2.8749,62.29,6.6712,0.0
687.935058,234.18,2.489,51.91,6.586,0.0
678.859,230.77,2.33,43.33,6.257,0.0
1032.26,919.532,3.3173,9.865,91.44,0.0
230.29,921.301,5.948,44.050,88.83,0.0
1173.0,921.0,2.2198,9.219,0.0,0.0
764.0,918.5,2.1213,3.0,0.0,0.0
262.25,917.75,0.7071,6378.53,135.0,0.0
145.0,914.0,2.1821,4.082,90.0,0.0
1168.0,921.0,2.1409,30.702,0.0,0.0
894.037,913.270,3.922,10.955,82.58,0.0
232.95,935.25,55.905,59.70,26.924,0.0
158.5,912.0,2.1213,3.0,90.0,0.0
142.5,912.0,2.1213,3.0,90.0,0.0
129.47,915.272949,4.853,6.270,123.09,0.0
768.0,911.5,2.1213,3.0,0.0,0.0
742.5,911.0,2.1213,3.0,90.0,0.0
170.373,914.260,5.156,6.684,98.205,0.0
1031.884,909.677,3.7003,10.056,87.90,0.0
266.941,911.42,1.9857,6.199,39.814,0.0
149.140,909.258,3.1462,13.706,90.50,0.0
123.65,912.410,1.471,7.818,28.496,0.0
718.5,908.0,2.1213,3.0,90.0,0.0
132.5,909.5,2.888,4.397,91.462,0.0
115.514,912.436,3.074,10.083,8.551,0.0
1170.50,908.295,1.1203,1.538,0.0,0.0
1067.29,915.278,2.132,14.285,4.048,0.0
1062.948,915.192,3.5569,13.65,7.014,0.0
716.5,907.0,2.1213,3.0,90.0,0.0
176.038,911.467,1.3761,9.888,144.45,0.0
166.989,907.508,0.7160,12.708,44.67,0.0
139.339,907.660,2.516,3.521,135.0,0.0
142.5,906.0,2.1213,3.0,90.0,0.0
1174.999511,905.99,0.12825,0.12835,134.90,0.0
1065.0,906.5,0.0,0.00,0.0,0.0
155.5,904.0,2.1213,3.0,90.0,0.0
144.5,904.0,2.1213,3.0,90.0,0.0
895.240,903.521,3.315,13.964,89.36,0.0
139.0,903.5,2.1213,3.0,0.0,0.0
160.76,903.190,2.7701,5.351,166.711,0.0
146.660,902.660,2.516,3.521,44.999,0.0
152.80,902.195,2.4433,5.4782,135.0,0.0
313.748,902.153,6.540,28.121,92.20,0.0
297.170,901.824,4.810,6.805,12.894,0.0
1067.364746,901.517,2.708,5.368,162.04,0.0
1030.800,900.094,4.3787,13.128,91.06,0.0
149.71,900.150,2.657,6.041,57.95,0.0
760.5,898.0,0.0,0.004,0.0,0.0
138.40,899.436,2.6049,5.25,23.652,0.0
